Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
"Утеплитель Ursa Terra 35QN Скатная крыша 3900х1200х150 мм, 1 шт",Строительные материалы,Тепло и шумоизоляция,Теплоизоляция по видам работ,утеплитель ursa terra 35qn скатная крыша 3900х1200х150 мм 1 шт,утеплитель ursa terra 35qn скатная крыша 3900х1200х150 мм 1 шт
"Унифлекс Технониколь ХПП, 1х10 м",Строительные материалы,"Кровля, водосточные системы",Наплавляемая кровля,унифлекс технониколь хпп 1х10 м,унифлекс технониколь хпп 1х10 м
"Песок строительный, 50 кг",Строительные материалы,Цемент и сыпучие материалы,Песок,песок строительный 50 кг,песок строительный 50 кг
Очки Condtrol для работы с лазерным дальномером,Строительные материалы,Расходные материалы для стройки,Средства защиты и спецодежда,очки condtrol работы с лазерным дальномером,очки condtrol работы с лазерным дальномером
"Утеплитель ТеплоKnauf Норд 033, 100х600х1250 мм, (6 шт.)",Строительные материалы,Тепло и шумоизоляция,Теплоизоляция по видам работ,утеплитель теплоknauf норд 033 100х600х1250 мм (6 шт),утеплитель теплоknauf норд 033 100х600х1250 мм (6 шт)
Профиль потолочный ПП (60х27 мм / 4 м),Строительные материалы,Стеновые материалы,Профиль и аксессуары для гипсокартона,профиль потолочный пп (60х27 мм / 4 м),профиль потолочный пп (60х27 мм / 4 м)
Шпаклевка Knauf Rotband Pasta Profi готовая (18 кг),Строительные материалы,Строительные смеси,Шпаклевки,шпаклевка knauf rotband pasta profi готовая (18 кг),шпаклевка knauf rotband pasta profi готовая (18 кг)
"Уголок горячекатаный, 50х50х5 мм, 6 м",Строительные материалы,Металлопрокат,Уголок стальной,уголок горячекатаный 50х50х5 мм 6 м,уголок горячекатаный 50х50х5 мм 6 м
Очки защитные Biber 96234 Мастер непрямая вентиляция,Строительные материалы,Расходные материалы для стройки,Средства защиты и спецодежда,очки защитные biber 96234 мастер непрямая вентиляция,очки защитные biber 96234 мастер непрямая вентиляция
"Доска обрезная, сорт деловой, 25х150х3000 мм",Строительные материалы,Пиломатериалы,Доски,доска обрезная сорт деловой 25х150х3000 мм,доска обрезная сорт деловой 25х150х3000 мм
"Наличник деревянный плоский, сращенный, сорт Экстра, 11х90х2200 мм",Строительные материалы,Пиломатериалы,Погонажные изделия из дерева,наличник деревянный плоский сращенный сорт экстра 11х90х2200 мм,наличник деревянный плоский сращенный сорт экстра 11х90х2200 мм
"Доска сухая строганая, сорт АВ, 45х95х3000 мм",Строительные материалы,Пиломатериалы,Доски,доска сухая строганая сорт ав 45х95х3000 мм,доска сухая строганая сорт ав 45х95х3000 мм
"Гидроизоляция Pufas акриловая, с армированием, морозостойкая, 3 кг",Строительные материалы,Гидроизоляция,Полимерная гидроизоляция,гидроизоляция pufas акриловая с армированием морозостойкая 3 кг,гидроизоляция pufas акриловая с армированием морозостойкая 3 кг
"Коробка упаковочная Сатурн, 550х380х300 мм (картон)",Строительные материалы,Расходные материалы для стройки,"Коробки, пакеты, сумки",коробка упаковочная сатурн 550х380х300 мм (картон),коробка упаковочная сатурн 550х380х300 мм (картон)
"Плинтус деревянный плоский, сращенный, сорт Экстра, 10х50х2500 мм",Строительные материалы,Пиломатериалы,Погонажные изделия из дерева,плинтус деревянный плоский сращенный сорт экстра 10х50х2500 мм,плинтус деревянный плоский сращенный сорт экстра 10х50х2500 мм
"Лента самоклеящаяся Люкстейп, 0,042х90 м",Строительные материалы,Стеновые материалы,Профиль и аксессуары для гипсокартона,лента самоклеящаяся люкстейп 0042х90 м,лента самоклеящаяся люкстейп 0042х90 м
"Теплоизоляция Rockwool Венти Баттс Оптима 1000х600х50 мм, 8 шт",Строительные материалы,Тепло и шумоизоляция,Тепло и звукоизоляция,теплоизоляция rockwool венти баттс оптима 1000х600х50 мм 8 шт,теплоизоляция rockwool венти баттс оптима 1000х600х50 мм 8 шт
"Утеплитель Isover Теплые Стены Стронг 1000х610х100 мм, 5 шт",Строительные материалы,Тепло и шумоизоляция,Теплоизоляция по видам работ,утеплитель isover теплые стены стронг 1000х610х100 мм 5 шт,утеплитель isover теплые стены стронг 1000х610х100 мм 5 шт
"Гипсоволокнистый лист малоформатный Knauf, 1200х1200х10 мм",Строительные материалы,Стеновые материалы,Листовые материалы,гипсоволокнистый лист малоформатный knauf 1200х1200х10 мм,гипсоволокнистый лист малоформатный knauf 1200х1200х10 мм
"Смесь штукатурно-клеевая Церезит СТ 190 для минер. плит зима, 25 кг",Строительные материалы,Строительные смеси,Кладочные и монтажные смеси,смесь штукатурно-клеевая церезит ст 190 минер плит зима 25 кг,смесь штукатурно-клеевая церезит ст 190 минер плит зима 25 кг
"Лента уплотнительная Дихтунгсбанд, 0,03х30 м",Строительные материалы,Стеновые материалы,Профиль и аксессуары для гипсокартона,лента уплотнительная дихтунгсбанд 003х30 м,лента уплотнительная дихтунгсбанд 003х30 м
"Гипсоволокнистый лист Knauf влагостойкий, прямая кромка, 2500х1200х12,5 мм",Строительные материалы,Стеновые материалы,Листовые материалы,гипсоволокнистый лист knauf влагостойкий прямая кромка 2500х1200х125 мм,гипсоволокнистый лист knauf влагостойкий прямая кромка 2500х1200х125 мм
"Арматура гладкая, 6 мм, класс А1, 3 м",Строительные материалы,Металлопрокат,Арматура и комплектующие,арматура гладкая 6 мм класс а1 3 м,арматура гладкая 6 мм класс а1 3 м
Перчатки повышенной прочности Профи (стекольщика),Строительные материалы,Расходные материалы для стройки,Перчатки и рукавицы,перчатки повышенной прочности профи (стекольщика),перчатки повышенной прочности профи (стекольщика)
"Перчатки вязаные п/шерстяные, 5 ниток с ПВХ",Строительные материалы,Расходные материалы для стройки,Средства защиты и спецодежда,перчатки вязаные п/шерстяные 5 ниток с пвх,перчатки вязаные п/шерстяные 5 ниток с пвх
Шпаклевка Danogips SuperFinish готовая (28 кг),Строительные материалы,Строительные смеси,Шпаклевки,шпаклевка danogips superfinish готовая (28 кг),шпаклевка danogips superfinish готовая (28 кг)
Шпаклевка суперфинишная Vetonit Fine белая (25 кг),Строительные материалы,Строительные смеси,Шпаклевки,шпаклевка суперфинишная vetonit fine белая (25 кг),шпаклевка суперфинишная vetonit fine белая (25 кг)
"Смесь ремонтная, жаростойкая Терракот, 5 кг",Строительные материалы,Строительные смеси,Кладочные и монтажные смеси,смесь ремонтная жаростойкая терракот 5 кг,смесь ремонтная жаростойкая терракот 5 кг
"Лента соединительная двухсторонняя Изоспан KL, 15 мм, 50 п.м.",Строительные материалы,Тепло и шумоизоляция,Ветро-влагозащита и пароизоляция,лента соединительная двухсторонняя изоспан kl 15 мм 50 пм,лента соединительная двухсторонняя изоспан kl 15 мм 50 пм
"Затирка Церезит CE 33 S №67 киви, 2 кг",Строительные материалы,Строительные смеси,Затирки для плитки,затирка церезит ce 33 s №67 киви 2 кг,затирка церезит ce 33 s №67 киви 2 кг
"Лист асбестоцементный (шифер плоский), 1500х1000х10 мм",Строительные материалы,"Кровля, водосточные системы",Шифер,лист асбестоцементный (шифер плоский) 1500х1000х10 мм,лист асбестоцементный (шифер плоский) 1500х1000х10 мм
"Полоса горячекатаная, 40х4 мм, 3 м",Строительные материалы,Металлопрокат,Полоса стальная,полоса горячекатаная 40х4 мм 3 м,полоса горячекатаная 40х4 мм 3 м
"Кирпич керамический полнотелый рядовой одинарный, М-150",Строительные материалы,Стеновые материалы,Кирпич,кирпич керамический полнотелый рядовой одинарный м-150,кирпич керамический полнотелый рядовой одинарный м-150
"Профиль потолочный ПП (60х27х0,45 мм / 4 м)",Строительные материалы,Стеновые материалы,Профиль и аксессуары для гипсокартона,профиль потолочный пп (60х27х045 мм / 4 м),профиль потолочный пп (60х27х045 мм / 4 м)
"Утеплитель Isover Каркасный Дом, 1000х600х100 мм (4 шт.)",Строительные материалы,Тепло и шумоизоляция,Теплоизоляция по видам работ,утеплитель isover каркасный дом 1000х600х100 мм (4 шт),утеплитель isover каркасный дом 1000х600х100 мм (4 шт)
"Линолеум полукоммерческий Polystyl Space Gea 1 (4 м), пр-во ТАРКЕТТ",Интерьер и отделка,Напольные покрытия,Линолеум,линолеум полукоммерческий polystyl space gea 1 (4 м) пр-во таркетт,линолеум полукоммерческий polystyl space gea 1 (4 м) пр-во таркетт
Клей для обоев универсальный Pufas (10 л = 10 кг) (ОК),Интерьер и отделка,Отделка стен,Обойный клей,клей обоев универсальный pufas (10 л = 10 кг) (ок),клей обоев универсальный pufas (10 л = 10 кг) (ок)
"Заглушка Ideal Комфорт, бук, 55 мм (2 шт, левая и правая)",Интерьер и отделка,Напольные покрытия,Плинтус,заглушка ideal комфорт бук 55 мм (2 шт левая и правая),заглушка ideal комфорт бук 55 мм (2 шт левая и правая)
"Керамогранит УГ 100, матовый, молочный, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит уг 100 матовый молочный 600х600х10 мм,керамогранит уг 100 матовый молочный 600х600х10 мм
Гидрофобизатор лак Мокрый камень (10 л),Интерьер и отделка,Расходные материалы для укладки плитки,Грунтовки,гидрофобизатор лак мокрый камень (10 л),гидрофобизатор лак мокрый камень (10 л)
"Керамогранит Керамин Денвер 2, черный, 400х400х8 мм",Интерьер и отделка,Керамическая плитка,Плитка фасадная облицовочная,керамогранит керамин денвер 2 черный 400х400х8 мм,керамогранит керамин денвер 2 черный 400х400х8 мм
"Плитка напольная Axima Сан-Ремо, серия Люкс, светло-серая, 327х327х8 мм",Интерьер и отделка,Керамическая плитка,Плитка напольная керамическая,плитка напольная axima сан-ремо серия люкс светло-серая 327х327х8 мм,плитка напольная axima сан-ремо серия люкс светло-серая 327х327х8 мм
"Керамогранит Керамин Портланд 2, матовый, темно-серый, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит керамин портланд 2 матовый темно-серый 600х600х10 мм,керамогранит керамин портланд 2 матовый темно-серый 600х600х10 мм
"Петля накладная ПНК-1-130Ц, 130х70х2,5 мм, правая, цинк",Интерьер и отделка,Двери и окна,Дверная фурнитура,петля накладная пнк-1-130ц 130х70х25 мм правая цинк,петля накладная пнк-1-130ц 130х70х25 мм правая цинк
"Панель МДФ Latat Модерн, Сосна Беленая, 2710х240х6 мм (8 шт.)",Интерьер и отделка,Отделка стен,Стеновые панели из МДФ,панель мдф latat модерн сосна беленая 2710х240х6 мм (8 шт),панель мдф latat модерн сосна беленая 2710х240х6 мм (8 шт)
"Ламинат Kronospan Castello Сlassic, дуб парящий, 1285х192х8 мм",Интерьер и отделка,Напольные покрытия,Ламинат,ламинат kronospan castello сlassic дуб парящий 1285х192х8 мм,ламинат kronospan castello сlassic дуб парящий 1285х192х8 мм
"Керамогранит УГ UF003, полированный, серый, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Плитка фасадная облицовочная,керамогранит уг полированный серый 600х600х10 мм,керамогранит уг полированный серый 600х600х10 мм
"Соединитель для подоконника, 600 мм",Интерьер и отделка,Двери и окна,Подоконники пластиковые,соединитель подоконника 600 мм,соединитель подоконника 600 мм
"Керамогранит Керамин Портланд 3, мат., светло-бежевый, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит керамин портланд 3 мат светло-бежевый 600х600х10 мм,керамогранит керамин портланд 3 мат светло-бежевый 600х600х10 мм
"Плитка настенная Unitile Damask, бежевая, 300х200х7 мм",Интерьер и отделка,Керамическая плитка,Плитка настенная керамическая,плитка настенная unitile damask бежевая 300х200х7 мм,плитка настенная unitile damask бежевая 300х200х7 мм
"Подложка отражающая металлизированная ЛМ 2мм, 30 м²",Интерьер и отделка,Напольные покрытия,Подложки под напольные покрытия,подложка отражающая металлизированная лм 2мм 30 м²,подложка отражающая металлизированная лм 2мм 30 м²
"Ламинат Kronospan Expert Choice, дуб Лонгбоу, 1285х192х8 мм",Интерьер и отделка,Напольные покрытия,Ламинат,ламинат kronospan expert choice дуб лонгбоу 1285х192х8 мм,ламинат kronospan expert choice дуб лонгбоу 1285х192х8 мм
"Керамогранит УГ UF010, матовый, светло-молочный, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Плитка фасадная облицовочная,керамогранит уг матовый светло-молочный 600х600х10 мм,керамогранит уг матовый светло-молочный 600х600х10 мм
"Панель МДФ Союз Супер Мат, Кофейный, 2600х238х6 мм",Интерьер и отделка,Отделка стен,Стеновые панели из МДФ,панель мдф союз супер мат кофейный 2600х238х6 мм,панель мдф союз супер мат кофейный 2600х238х6 мм
"Замок накладной Зенит ЗН1-2, английский ключ, прямоуг. ригель, медь",Интерьер и отделка,Двери и окна,Дверная фурнитура,замок накладной зенит зн1-2 английский ключ прямоуг ригель медь,замок накладной зенит зн1-2 английский ключ прямоуг ригель медь
"Порог угловой Лука, золото (0,9 м х 41,8 мм х 54 мм)",Интерьер и отделка,Напольные покрытия,"Порог, накладка",порог угловой лука золото (09 м х 418 мм х 54 мм),порог угловой лука золото (09 м х 418 мм х 54 мм)
"Плитка напольная Axima Азалия, голубая, 327х327х8 мм",Интерьер и отделка,Керамическая плитка,Коллекции керамической плитки,плитка напольная axima азалия голубая 327х327х8 мм,плитка напольная axima азалия голубая 327х327х8 мм
"Линолеум полукоммерческий Polystyl Space F Gea 1 (2 м), пр-во ТАРКЕТТ",Интерьер и отделка,Напольные покрытия,Линолеум,линолеум полукоммерческий polystyl space f gea 1 (2 м) пр-во таркетт,линолеум полукоммерческий polystyl space f gea 1 (2 м) пр-во таркетт
"Уголок внутренний под плитку Ideal, пластик, св-сер (2,5 м х 9-10 мм)",Интерьер и отделка,Расходные материалы для укладки плитки,"Раскладка-уголок, профили",уголок внутренний под плитку ideal пластик св-сер (25 м х 9-10 мм),уголок внутренний под плитку ideal пластик св-сер (25 м х 9-10 мм)
"Подоконник ПВХ, 100 мм (3 п.м)",Интерьер и отделка,Двери и окна,Подоконники пластиковые,подоконник пвх 100 мм (3 пм),подоконник пвх 100 мм (3 пм)
"Заглушка Ideal Комфорт, каштан, 55 мм (2 шт, левая и правая)",Интерьер и отделка,Напольные покрытия,Плинтус,заглушка ideal комфорт каштан 55 мм (2 шт левая и правая),заглушка ideal комфорт каштан 55 мм (2 шт левая и правая)
"Грунт-эмаль по ржавчине Текс РжавоStop чёрный (0,9 кг)",Интерьер и отделка,Расходные материалы для укладки плитки,Грунтовки,грунт-эмаль по ржавчине текс ржавоstop чёрный (09 кг),грунт-эмаль по ржавчине текс ржавоstop чёрный (09 кг)
"Петля рояльная L=250 мм, цинк",Интерьер и отделка,Двери и окна,Дверная фурнитура,петля рояльная l=250 мм цинк,петля рояльная l=250 мм цинк
"Затирка Vetonit Comfort Spectrum 06 серый, 2 кг",Интерьер и отделка,Расходные материалы для укладки плитки,Затирки,затирка vetonit comfort spectrum 06 серый 2 кг,затирка vetonit comfort spectrum 06 серый 2 кг
"Ламинат Kronospan Expert Choice, дуб Торнадо, 1285х192х8 мм",Интерьер и отделка,Напольные покрытия,Ламинат,ламинат kronospan expert choice дуб торнадо 1285х192х8 мм,ламинат kronospan expert choice дуб торнадо 1285х192х8 мм
"Затирка эластичная противогрибковая Церезит CE 40 антрацит, 2 кг",Интерьер и отделка,Расходные материалы для укладки плитки,Затирки,затирка эластичная противогрибковая церезит ce 40 антрацит 2 кг,затирка эластичная противогрибковая церезит ce 40 антрацит 2 кг
"Линолеум полукоммерческий Polystyl Titan Chicago 4 (2,5 м), пр-во ТАРКЕТТ",Интерьер и отделка,Напольные покрытия,Линолеум,линолеум полукоммерческий polystyl titan chicago 4 (25 м) пр-во таркетт,линолеум полукоммерческий polystyl titan chicago 4 (25 м) пр-во таркетт
"Панель МДФ Союз Классик, Орех Пекан, 2600х238х6 мм",Интерьер и отделка,Отделка стен,Стеновые панели из МДФ,панель мдф союз классик орех пекан 2600х238х6 мм,панель мдф союз классик орех пекан 2600х238х6 мм
"Линолеум полукоммерческий Polystyl Space F Savoca 4 (2,5 м), пр-во ТАРКЕТТ",Интерьер и отделка,Напольные покрытия,Линолеум,линолеум полукоммерческий polystyl space f savoca 4 (25 м) пр-во таркетт,линолеум полукоммерческий polystyl space f savoca 4 (25 м) пр-во таркетт
"Керамогранит Керамин Денвер 2, черный, 400х400х7 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит керамин денвер 2 черный 400х400х7 мм,керамогранит керамин денвер 2 черный 400х400х7 мм
"Плитка напольная Axima Монреаль, бежевая, 400х400х9 мм",Интерьер и отделка,Керамическая плитка,Плитка напольная керамическая,плитка напольная axima монреаль бежевая 400х400х9 мм,плитка напольная axima монреаль бежевая 400х400х9 мм
Клей для керамической плитки и керамогранита выше среднего размера ЕК 4000 Titan (25 кг),Интерьер и отделка,Расходные материалы для укладки плитки,Клей для плитки,клей керамической плитки и керамогранита выше среднего размера ек 4000 titan (25 кг),клей керамической плитки и керамогранита выше среднего размера ек 4000 titan (25 кг)
"Панель ПВХ Белая матовая, 3000х250х8 мм (10 шт)",Интерьер и отделка,Отделка стен,Стеновые панели из ПВХ,панель пвх белая матовая 3000х250х8 мм (10 шт),панель пвх белая матовая 3000х250х8 мм (10 шт)
"Керамогранит УГ 100, полированный, молочный, 600х600х10 мм",Интерьер и отделка,Керамическая плитка,Коллекции керамической плитки,керамогранит уг 100 полированный молочный 600х600х10 мм,керамогранит уг 100 полированный молочный 600х600х10 мм
"Добор Olovi, 150 мм, ламинированный, итальянский орех",Интерьер и отделка,Двери и окна,"Наличники, доборы, пороги",добор olovi 150 мм ламинированный итальянский орех,добор olovi 150 мм ламинированный итальянский орех
"Полотно дверное ответка Olovi, глухое, дуб беленый, б/п, с/ф (300х2000 мм)",Интерьер и отделка,Двери и окна,Межкомнатные двери,полотно дверное ответка olovi глухое дуб беленый б/п с/ф (300х2000 мм),полотно дверное ответка olovi глухое дуб беленый б/п с/ф (300х2000 мм)
"Керамогранит Квадро Техно 2, серый, 300х300х7 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит квадро техно 2 серый 300х300х7 мм,керамогранит квадро техно 2 серый 300х300х7 мм
"Керамогранит Керамин Амстердам 4, глазур., коричневый, 298х298х8 мм",Интерьер и отделка,Керамическая плитка,Плитка фасадная облицовочная,керамогранит керамин амстердам 4 глазур коричневый 298х298х8 мм,керамогранит керамин амстердам 4 глазур коричневый 298х298х8 мм
"Коробка дверная Olovi, ламин., однопол., итальянский орех, с/ф (937х2031х70 мм)",Интерьер и отделка,Двери и окна,Межкомнатные двери,коробка дверная olovi ламин однопол итальянский орех с/ф (937х2031х70 мм),коробка дверная olovi ламин однопол итальянский орех с/ф (937х2031х70 мм)
"Плитка настенная Kerabel Аттика Мозаика, 400х200х7,5 мм (пр-во БКСМ)",Интерьер и отделка,Керамическая плитка,Плитка настенная керамическая,плитка настенная kerabel аттика мозаика 400х200х75 мм (пр-во бксм),плитка настенная kerabel аттика мозаика 400х200х75 мм (пр-во бксм)
Доводчик SCHLOSS 61101 40-65 кг (макс 75 кг) серебро (10),Интерьер и отделка,Двери и окна,Дверная фурнитура,доводчик schloss 61101 40-65 кг (макс 75 кг) серебро (10),доводчик schloss 61101 40-65 кг (макс 75 кг) серебро (10)
"Угол внешний Ideal Комфорт, вишня, 55 мм (2 шт)",Интерьер и отделка,Напольные покрытия,Плинтус,угол внешний ideal комфорт вишня 55 мм (2 шт),угол внешний ideal комфорт вишня 55 мм (2 шт)
"Керамогранит Gracia Ceramica Nut 500х125х8 мм, бежевый",Интерьер и отделка,Керамическая плитка,Плитка фасадная облицовочная,керамогранит gracia ceramica nut 500х125х8 мм бежевый,керамогранит gracia ceramica nut 500х125х8 мм бежевый
"Керамогранит Unitile Техногрес Профи, бежевый, 300х300х7 мм",Интерьер и отделка,Керамическая плитка,Керамогранит для пола,керамогранит unitile техногрес профи бежевый 300х300х7 мм,керамогранит unitile техногрес профи бежевый 300х300х7 мм
"Плитка настенная верх Unitile Юпитер, светло-бежевая, 200х300х7 мм",Интерьер и отделка,Керамическая плитка,Коллекции керамической плитки,плитка настенная верх unitile юпитер светло-бежевая 200х300х7 мм,плитка настенная верх unitile юпитер светло-бежевая 200х300х7 мм
Пропитка для дерева антисептическая Текс Биозащита бесцв. (5 л),"ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Биозащитные,пропитка дерева антисептическая текс биозащита бесцв (5 л),пропитка дерева антисептическая текс биозащита бесцв (5 л)
Клей для обоев Экон Флизелиновый (200 г),"ЛКМ, пены, герметики","Клей, жидкие гвозди",Клей для обоев,клей обоев экон флизелиновый (200 г),клей обоев экон флизелиновый (200 г)
Краска фасадная Текс Профи основа D (9 л),"ЛКМ, пены, герметики",Краски,Краски вододисперсионные,краска фасадная текс профи основа d (9 л),краска фасадная текс профи основа d (9 л)
Кисть круглая Biber 31185 Стандарт 45 мм,"ЛКМ, пены, герметики",Малярный инструмент,Кисти,кисть круглая biber 31185 стандарт 45 мм,кисть круглая biber 31185 стандарт 45 мм
"Антисептик лессирующий для дерева Pufas ProNatur бесцветный (2,7 л)","ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Биозащитные,антисептик лессирующий дерева pufas pronatur бесцветный (27 л),антисептик лессирующий дерева pufas pronatur бесцветный (27 л)
"Краска колеровочная для в/д красок Pufas N01 красная (0,75 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,краска колеровочная в/д красок pufas красная (075 л),краска колеровочная в/д красок pufas красная (075 л)
Антисептик лессирующий для дерева Pufas ProNatur палисандр (9 л),"ЛКМ, пены, герметики",Антисептики и пропитки для дерева,Биозащитные,антисептик лессирующий дерева pufas pronatur палисандр (9 л),антисептик лессирующий дерева pufas pronatur палисандр (9 л)
"Лента малярная Строби, 19 мм х 50 м","ЛКМ, пены, герметики",Малярный инструмент,Защита от краски,лента малярная строби 19 мм х 50 м,лента малярная строби 19 мм х 50 м
Краска фасадная Текс Профи основа A белая (9 л),"ЛКМ, пены, герметики",Краски,Краски вододисперсионные,краска фасадная текс профи основа a белая (9 л),краска фасадная текс профи основа a белая (9 л)
Герметик силиконовый Vetonit Comfort Sil серый 06 (280 мл),"ЛКМ, пены, герметики",Герметики,Герметики силиконовые,герметик силиконовый vetonit comfort sil серый 06 (280 мл),герметик силиконовый vetonit comfort sil серый 06 (280 мл)
"Паста колеровочная универсальная Pufas 15 бирюзовая (0,1 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,паста колеровочная универсальная pufas 15 бирюзовая (01 л),паста колеровочная универсальная pufas 15 бирюзовая (01 л)
"Пистолет для герметиков Варяг 60110, полукорпусной, 225 мм","ЛКМ, пены, герметики",Герметики,Пистолеты для герметиков,пистолет герметиков варяг 60110 полукорпусной 225 мм,пистолет герметиков варяг 60110 полукорпусной 225 мм
Грунтовка пропиточная Pufas Decoself A50 универсальная (5 л),"ЛКМ, пены, герметики",Грунтовочные составы,Грунтовки,грунтовка пропиточная pufas decoself универсальная (5 л),грунтовка пропиточная pufas decoself универсальная (5 л)
Ванночка для краски Biber 31801 150х290 мм,"ЛКМ, пены, герметики",Малярный инструмент,Емкости для краски,ванночка краски biber 31801 150х290 мм,ванночка краски biber 31801 150х290 мм
Пена полиуретановая монтажная Kudo Trend Window 60 (1 л),"ЛКМ, пены, герметики",Пена монтажная,Пена профессиональная,пена полиуретановая монтажная kudo trend window 60 (1 л),пена полиуретановая монтажная kudo trend window 60 (1 л)
"Герметик силиконовый Момент Гермент санитарный, прозрачный (0,28 л)","ЛКМ, пены, герметики",Герметики,Герметики силиконовые,герметик силиконовый момент гермент санитарный прозрачный (028 л),герметик силиконовый момент гермент санитарный прозрачный (028 л)
"Паста колеровочная универсальная Pufas 32 синее море (0,1 л)","ЛКМ, пены, герметики",Краски,Пигменты и колеры для краски,паста колеровочная универсальная pufas 32 синее море (01 л),паста колеровочная универсальная pufas 32 синее море (01 л)
"Клей Makroflex Bio Line MF190 прозрачный (0,185 кг)","ЛКМ, пены, герметики","Клей, жидкие гвозди",Жидкие гвозди,клей makroflex bio line прозрачный (0185 кг),клей makroflex bio line прозрачный (0185 кг)
Клей Момент Монтаж Мгновенная Хватка МР-90 (290 мл),"ЛКМ, пены, герметики","Клей, жидкие гвозди",Жидкие гвозди,клей момент монтаж мгновенная хватка мр-90 (290 мл),клей момент монтаж мгновенная хватка мр-90 (290 мл)
Клей для напольных покрытий Pufas Decoself (14 кг),"ЛКМ, пены, герметики","Клей, жидкие гвозди",Клей для напольных покрытий,клей напольных покрытий pufas decoself (14 кг),клей напольных покрытий pufas decoself (14 кг)
