Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
Набор шаров 24шт 4см жемчужный+шампанское SYQA-012251,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 4см жемчужный+шампанское,набор шаров 24шт 4см жемчужный+шампанское
Набор шаров 6шт 8см радужный SYQA-0122293,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см радужный,набор шаров 6шт 8см радужный
Набор шаров 8шт 8см жемчужный+серебро SYQA-012246,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 8шт 8см жемчужный+серебро,набор шаров 8шт 8см жемчужный+серебро
Набор шаров 32шт 4см темно-зелёный SYQA-0122103,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 32шт 4см темно-зелёный,набор шаров 32шт 4см темно-зелёный
"Набор шаров 9шт 3см, золото (глянец: 3шт, матовые: 3шт, глиттер: 3шт), SYQA-0122132",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 9шт 3см золото (глянец 3шт матовые 3шт глиттер 3шт),набор шаров 9шт 3см золото (глянец 3шт матовые 3шт глиттер 3шт)
Набор шаров 6шт 8см красный SYQB-0122226,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см красный,набор шаров 6шт 8см красный
Набор шаров 4шт 8см зелёный+красный+золото SYQB-0122368,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 4шт 8см зелёный+красный+золото,набор шаров 4шт 8см зелёный+красный+золото
Набор шаров 4шт 8см чёрный+золото SYQF-0122295,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 4шт 8см чёрный+золото,набор шаров 4шт 8см чёрный+золото
Набор шаров 6шт 8см медный+кофе SYQF-012216,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см медный+кофе,набор шаров 6шт 8см медный+кофе
Набор шаров 6шт 8см шампанское SYQF-012242,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см шампанское,набор шаров 6шт 8см шампанское
Шар с узором 8см чёрный+белый SYPMQB-102227,Новогодние товары,Украшения елочные,Шары новогодние,шар с узором 8см чёрный+белый,шар с узором 8см чёрный+белый
"Украшение подвесное шар с фантами-заданиями 6,5см 88532",Новогодние товары,Украшения елочные,Шары новогодние,украшение подвесное шар с фантами-заданиями 65см 88532,украшение подвесное шар с фантами-заданиями 65см 88532
Украшение елочное Шар ажурный золото d80мм,Новогодние товары,Украшения елочные,Шары новогодние,украшение елочное шар ажурный золото d80мм,украшение елочное шар ажурный золото d80мм
Набор шаров 24шт 4см жемчужный+серебро SYQA-012243,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 4см жемчужный+серебро,набор шаров 24шт 4см жемчужный+серебро
Набор шаров 16шт 8см темно-зелёный SYQA-0122106,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 16шт 8см темно-зелёный,набор шаров 16шт 8см темно-зелёный
Набор шаров 6шт 8см медный SYQF-012288,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см медный,набор шаров 6шт 8см медный
"Набор шаров 3шт 8см серебро, SYQB3-0123334",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 3шт 8см серебро,набор шаров 3шт 8см серебро
"Набор шаров 6шт 8см синий, глянец, SYCB17-651-B",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см синий глянец -b,набор шаров 6шт 8см синий глянец -b
Набор шаров 4шт 8см серебро SYQA-0122301,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 4шт 8см серебро,набор шаров 4шт 8см серебро
Набор шаров 16шт 8см серебро SYQA-012286,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 16шт 8см серебро,набор шаров 16шт 8см серебро
Набор шаров 32шт 4см золото SYQA-012279,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 32шт 4см золото,набор шаров 32шт 4см золото
"Набор шаров 6шт 7см радужно-белый, SYQA-0123002",Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 7см радужно-белый,набор шаров 6шт 7см радужно-белый
Набор шаров 24шт 6см красный SYQA-012289,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 24шт 6см красный,набор шаров 24шт 6см красный
Набор шаров 6шт 8см прозрачный SYQF-0122143,Новогодние товары,Украшения елочные,Шары новогодние,набор шаров 6шт 8см прозрачный,набор шаров 6шт 8см прозрачный
