Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
Кронштейн для полки Larvij Митер белый 250х250х30 мм,Хранение и порядок,Мебель для хранения,Консоли,кронштейн полки larvij митер белый 250х250х30 мм,кронштейн полки larvij митер белый 250х250х30 мм
Комод 6 ящ деревянный 155х39х92 см,Хранение и порядок,Мебель для хранения,Комоды,комод 6 ящ деревянный 155х39х92 см,комод 6 ящ деревянный 155х39х92 см
"Комод Шведский Стандарт Варма 3 80х77х40 см, серый",Хранение и порядок,Мебель для хранения,Комоды,комод шведский стандарт варма 3 80х77х40 см серый,комод шведский стандарт варма 3 80х77х40 см серый
"Комод Феликс №2 6 ящиков напольный 80х48х123 см, альпийский дуб",Хранение и порядок,Мебель для хранения,Комоды,комод феликс №2 6 ящиков напольный 80х48х123 см альпийский дуб,комод феликс №2 6 ящиков напольный 80х48х123 см альпийский дуб
"Ящик Roxor Consumer с крышкой и клипсами 36 серия Home, голубой",Хранение и порядок,Хранение в гараже,Ящики и контейнеры для хранения в гараже,ящик roxor consumer с крышкой и клипсами 36 серия home голубой,ящик roxor consumer с крышкой и клипсами 36 серия home голубой
Короб UNO 30х30х30 темно-серый,Хранение и порядок,Аксессуары для хранения,Короба для хранения,короб uno 30х30х30 темно-серый,короб uno 30х30х30 темно-серый
Контейнер ROXBOX полипропиленовый 415х565х740 мм 120 л,Хранение и порядок,Ёмкости для хранения,Пластиковые контейнеры для хранения,контейнер roxbox полипропиленовый 415х565х740 мм 120 л,контейнер roxbox полипропиленовый 415х565х740 мм 120 л
"Банкетка для обуви Nika Б1/Ч 450x330x500 мм, черный",Хранение и порядок,Мебель для хранения,Обувницы,банкетка обуви nika б1/ч 450x330x500 мм черный,банкетка обуви nika б1/ч 450x330x500 мм черный
Контейнер для хранения в ассортименте с крышкой ROX BOX полипропилен 390х500х250 мм 36 л,Хранение и порядок,Хранение в гараже,Ящики и контейнеры для хранения в гараже,контейнер хранения в ассортименте с крышкой rox box полипропилен 390х500х250 мм 36 л,контейнер хранения в ассортименте с крышкой rox box полипропилен 390х500х250 мм 36 л
"Корзина стеллажная ""Колокольчик"", Д400 Ш310 В170, белый",Хранение и порядок,Ёмкости для хранения,Корзины для хранения,корзина стеллажная колокольчик д400 ш310 в170 белый,корзина стеллажная колокольчик д400 ш310 в170 белый
"Органайзер для хранения, 2 секции ""SNYGG"", Д200 Ш510 В180, серый",Хранение и порядок,Аксессуары для хранения,Короба для хранения,органайзер хранения 2 секции snygg д200 ш510 в180 серый,органайзер хранения 2 секции snygg д200 ш510 в180 серый
Кронштейн для полки Larvij Орнаментал бронза 200x13x200мм,Хранение и порядок,Полки и кронштейны,Кронштейны для полок,кронштейн полки larvij орнаментал бронза 200x13x200мм,кронштейн полки larvij орнаментал бронза 200x13x200мм
Вешалка Larvij 4 двойных крючка темная сосна 7х40 см,Хранение и порядок,Аксессуары для хранения,Вешалки настенные,вешалка larvij 4 двойных крючка темная сосна 7х40 см,вешалка larvij 4 двойных крючка темная сосна 7х40 см
Кронштейн для полки Larvij белый 73x434x12 мм,Хранение и порядок,Хранение в гараже,Навесные системы хранения,кронштейн полки larvij белый 73x434x12 мм,кронштейн полки larvij белый 73x434x12 мм
Держатель для перекладины Larvij L9231WH 291x72x30 см белый,Хранение и порядок,Гардеробные системы,Кронштейны и направляющие для гардеробных систем,держатель перекладины larvij 291x72x30 см белый,держатель перекладины larvij 291x72x30 см белый
"Стойка для стеллажа 150 см, светло-серая",Хранение и порядок,Хранение в гараже,Стеллажные системы хранения,стойка стеллажа 150 см светло-серая,стойка стеллажа 150 см светло-серая
Мебельный уголок ЕВРОПАРТНЕР пластиковый сосна 4 шт,Хранение и порядок,Мебельные комплектующие,Уголки мебельные,мебельный уголок европартнер пластиковый сосна 4 шт,мебельный уголок европартнер пластиковый сосна 4 шт
"Кронштейн для телевизора 17""-42"", наклонно-поворотный, 2 колена REXANT",Хранение и порядок,Полки и кронштейны,Кронштейны для телевизора,кронштейн телевизора 17-42 наклонно-поворотный 2 колена rexant,кронштейн телевизора 17-42 наклонно-поворотный 2 колена rexant
Мебельная панель ЛДСП 800х600х16 мм Сонома,Хранение и порядок,Мебельные комплектующие,Панели ЛДСП,мебельная панель лдсп 800х600х16 мм сонома,мебельная панель лдсп 800х600х16 мм сонома
Контейнер 45 л пластиковый прозрачный 56*39*28 без крышки,Хранение и порядок,Ёмкости для хранения,Пластиковые контейнеры для хранения,контейнер 45 л пластиковый прозрачный 56*39*28 без крышки,контейнер 45 л пластиковый прозрачный 56*39*28 без крышки
Мебельная панель ЛДСП 800х600х16 мм Белый 2008003001022,Хранение и порядок,Мебельные комплектующие,Панели ЛДСП,мебельная панель лдсп 800х600х16 мм белый 2008003001022,мебельная панель лдсп 800х600х16 мм белый 2008003001022
"Двухсторонняя клейкая лента UNIBOB, на тканевой основе 50мм х 25м",Хранение и порядок,Ёмкости для хранения,Упаковочная клейкая лента,двухсторонняя клейкая лента unibob на тканевой основе 50мм х 25м,двухсторонняя клейкая лента unibob на тканевой основе 50мм х 25м
Вешалка Larvij 4 двойных крючка сосна 7х36 см,Хранение и порядок,Аксессуары для хранения,"Вешалки, плечики для одежды",вешалка larvij 4 двойных крючка сосна 7х36 см,вешалка larvij 4 двойных крючка сосна 7х36 см
Контейнер 22 л пластиковый прозрачный 39*28*28 без крышки,Хранение и порядок,Ёмкости для хранения,Пластиковые контейнеры для хранения,контейнер 22 л пластиковый прозрачный 39*28*28 без крышки,контейнер 22 л пластиковый прозрачный 39*28*28 без крышки
Контейнер для хранения с крышкой ROXBOX 400х300х170 мм 16 л в ассортименте,Хранение и порядок,Ёмкости для хранения,Ящики для хранения,контейнер хранения с крышкой roxbox 400х300х170 мм 16 л в ассортименте,контейнер хранения с крышкой roxbox 400х300х170 мм 16 л в ассортименте
Стул детский 27х29х57 см,Хранение и порядок,Мебель для хранения,Стулья,стул детский 27х29х57 см,стул детский 27х29х57 см
Стул DIAMANTE жесткое сидение,Хранение и порядок,Мебель для хранения,Стулья,стул diamante жесткое сидение,стул diamante жесткое сидение
Кронштейн для полки Larvij белый 150x70x18 мм 2 шт,Хранение и порядок,Гардеробные системы,Кронштейны и направляющие для гардеробных систем,кронштейн полки larvij белый 150x70x18 мм 2 шт,кронштейн полки larvij белый 150x70x18 мм 2 шт
Кофр для хранения HAUSMANN ПЭТ/ПП 60х50х35 см,Хранение и порядок,Ёмкости для хранения,Ящики для хранения,кофр хранения hausmann пэт/пп 60х50х35 см,кофр хранения hausmann пэт/пп 60х50х35 см
"Ящик Феликс для шкафа 100x35х23 см, венге",Хранение и порядок,Мебель для хранения,Корпусная мебель,ящик феликс шкафа 100x35х23 см венге,ящик феликс шкафа 100x35х23 см венге
Стол Pinecrest акация 178x100x73 см,Хранение и порядок,Мебель для хранения,Столы,стол pinecrest акация 178x100x73 см,стол pinecrest акация 178x100x73 см
Корзина для хранения Keeplex Rattan 21 л 30х30х28 см морской песок,Хранение и порядок,Ёмкости для хранения,Корзины для хранения,корзина хранения keeplex rattan 21 л 30х30х28 см морской песок,корзина хранения keeplex rattan 21 л 30х30х28 см морской песок
"Тумба прикроватная Шведский стандарт Сириус 39х41х53 см, белая",Хранение и порядок,Мебель для хранения,Тумбы прикроватные,тумба прикроватная шведский стандарт сириус 39х41х53 см белая,тумба прикроватная шведский стандарт сириус 39х41х53 см белая
Мебельный уголок ЕВРОПАРТНЕР пластиковый белый 4 шт,Хранение и порядок,Мебельные комплектующие,Уголки мебельные,мебельный уголок европартнер пластиковый белый 4 шт,мебельный уголок европартнер пластиковый белый 4 шт
Полка для одежды Larvij L9994BL черный 903x406x15 мм,Хранение и порядок,Хранение в гараже,Навесные системы хранения,полка одежды larvij черный 903x406x15 мм,полка одежды larvij черный 903x406x15 мм
Кронштейн для полки Larvij Ютилити коричневый 300х250х45 мм,Хранение и порядок,Мебель для хранения,Консоли,кронштейн полки larvij ютилити коричневый 300х250х45 мм,кронштейн полки larvij ютилити коричневый 300х250х45 мм
Мебельный щит ЛДСП 80х30 см Дуб коми,Хранение и порядок,Мебельные комплектующие,Мебельные щиты ЛДСП,мебельный щит лдсп 80х30 см дуб коми,мебельный щит лдсп 80х30 см дуб коми
"Кронштейн для телевизора REXANT Home 23""-43"" наклонно-поворотный",Хранение и порядок,Полки и кронштейны,Кронштейны для телевизора,кронштейн телевизора rexant home 23-43 наклонно-поворотный,кронштейн телевизора rexant home 23-43 наклонно-поворотный
"Ящик Roxor Consumer с крышкой особопрочный 36 серия Rox Box Pro, антрацитовый",Хранение и порядок,Хранение в гараже,Ящики и контейнеры для хранения в гараже,ящик roxor consumer с крышкой особопрочный 36 серия rox box pro антрацитовый,ящик roxor consumer с крышкой особопрочный 36 серия rox box pro антрацитовый
"Дверь шкафа ФЕЛИКС ДВ193Х44СЗ-В1-1077 44,6х193,2 см таксония",Хранение и порядок,Мебель для хранения,Двери-купе,дверь шкафа феликс дв193х44сз-в1-1077 446х1932 см таксония,дверь шкафа феликс дв193х44сз-в1-1077 446х1932 см таксония
"Плед бежевый 150*200 см, фланель однотонный страйп, TexRepublic",Декор,Текстиль для дома,Пледы,плед бежевый 150*200 см фланель однотонный страйп texrepublic,плед бежевый 150*200 см фланель однотонный страйп texrepublic
"Обои вспененный винил под покраску антивандальные белые 1,06х25 м аф 4-12-005",Декор,Обои,Обои под покраску,обои вспененный винил под покраску антивандальные белые 106х25 м аф 4-12-005,обои вспененный винил под покраску антивандальные белые 106х25 м аф 4-12-005
Ковер Moldabela Shaggylama 1039-35325 серебристый 160х230 см,Декор,Ковры и коврики,Ковры с высоким ворсом,ковер moldabela shaggylama 1039-35325 серебристый 160х230 см,ковер moldabela shaggylama 1039-35325 серебристый 160х230 см
"Фигурка декоративная с часами ""Солдатик"" (LR44x1, не прилаг), L10 W9 H51 см",Декор,Декор интерьера,Декоративные предметы,фигурка декоративная с часами солдатик ( не прилаг) см,фигурка декоративная с часами солдатик ( не прилаг) см
Рулонная штора Уют Рига зеленый 100x175 см,Декор,Оформление окна,Рулонные шторы,рулонная штора уют рига зеленый 100x175 см,рулонная штора уют рига зеленый 100x175 см
Увлажнитель воздуха ультразвуковой PRIMERA HUP-E3056-LA,Декор,Декор для спальни,Увлажнители воздуха для спальни,увлажнитель воздуха ультразвуковой primera hup-la,увлажнитель воздуха ультразвуковой primera hup-la
Угол универсальный FORMAT 5004 78х57 мм белый,Декор,Обои,Декоративные профили и потолочные панели,угол универсальный format 5004 78х57 мм белый,угол универсальный format 5004 78х57 мм белый
Штора портьерная WITERRA 145 см 1 шт серая,Декор,Декор для детской комнаты,Шторы для детской,штора портьерная witerra 145 см 1 шт серая,штора портьерная witerra 145 см 1 шт серая
Наклейки декоративные Room Decor Bestkom Братва 3D 29x41 мм 9 шт,Декор,Декор для детской комнаты,Наклейки для детской,наклейки декоративные room decor bestkom братва 3d 29x41 мм 9 шт,наклейки декоративные room decor bestkom братва 3d 29x41 мм 9 шт
Увлажнитель воздуха ультразвуковой PRIMERA HUP-W3080-TA,Декор,Декор для спальни,Увлажнители воздуха для спальни,увлажнитель воздуха ультразвуковой primera hup-ta,увлажнитель воздуха ультразвуковой primera hup-ta
Штора блэкаут Канвас серо-голубая 150х260 см,Декор,Оформление окна,Готовые шторы,штора блэкаут канвас серо-голубая 150х260 см,штора блэкаут канвас серо-голубая 150х260 см
Плед PLAIN микрофибра Belezza сиреневый 140x200,Декор,Декор для спальни,Покрывала для спальни,плед plain микрофибра belezza сиреневый 140x200,плед plain микрофибра belezza сиреневый 140x200
"Зеркало ""Шопен дуб"" 450х1600 напольное",Декор,Декор для стен,Зеркала,зеркало шопен дуб 450х1600 напольное,зеркало шопен дуб 450х1600 напольное
"Часы настенные машина D33,5 122207",Декор,Декор для стен,Часы,часы настенные машина 5 122207,часы настенные машина 5 122207
Салфетка сервировочная пвх MARMITON Геометрия 30x45 см золото,Декор,Декор для кухни,Салфетки для стола,салфетка сервировочная пвх marmiton геометрия 30x45 см золото,салфетка сервировочная пвх marmiton геометрия 30x45 см золото
Эркер для карниза HOME ACCESSORY стальной сплав серебряный 140 мм d16 мм 1 шт,Декор,Карнизы для штор,Наборные карнизы,эркер карниза home accessory стальной сплав серебряный 140 мм мм 1 шт,эркер карниза home accessory стальной сплав серебряный 140 мм мм 1 шт
Штора тюлевая Legrand Софт 140х150 см 2 шт,Декор,Оформление окна,Тюль,штора тюлевая legrand софт 140х150 см 2 шт,штора тюлевая legrand софт 140х150 см 2 шт
Ковер GARDEN 0.6*1 дизайн E2784,Декор,Ковры и коврики,Ковры джут,ковер garden 06*1 дизайн,ковер garden 06*1 дизайн
Держатель для карниза 2 ряда ORBIS Комби золото антик 200 мм d20/28 мм,Декор,Карнизы для штор,Комплектующие для карнизов,держатель карниза 2 ряда orbis комби золото антик 200 мм /28 мм,держатель карниза 2 ряда orbis комби золото антик 200 мм /28 мм
Ковер Moldabela Viva 30 в ассортименте 160х230 см,Декор,Ковры и коврики,Ковры с высоким ворсом,ковер moldabela viva 30 в ассортименте 160х230 см,ковер moldabela viva 30 в ассортименте 160х230 см
Букет из сухоцветов Пшеница Фиолетовая 600мм,Декор,Декор интерьера,Искусственные цветы для интерьера,букет из сухоцветов пшеница фиолетовая 600мм,букет из сухоцветов пшеница фиолетовая 600мм
"Полка настенная Шведский Стандарт Фора 1.4 40х25х3.7 см, дуб беленый",Декор,Декор для стен,Декоративные полки,полка настенная шведский стандарт фора 14 40х25х37 см дуб беленый,полка настенная шведский стандарт фора 14 40х25х37 см дуб беленый
"Фигурка декоративная ""Солдатик-медведь"", L9 W9 H31 см",Декор,Декор интерьера,Декоративные предметы,фигурка декоративная солдатик-медведь см,фигурка декоративная солдатик-медведь см
Рулонные шторы Эскар Blackout отражающий бежевый 200x170 см,Декор,Оформление окна,Рулонные шторы,рулонные шторы эскар blackout отражающий бежевый 200x170 см,рулонные шторы эскар blackout отражающий бежевый 200x170 см
"Фигурка декоративная ""Грузовик"", L60 W11 H19 см",Декор,Декор интерьера,Декоративные предметы,фигурка декоративная грузовик см,фигурка декоративная грузовик см
Стол LIKE 55x55x44 см белый,Декор,Декоративная мебель,Кофейные столики,стол like 55x55x44 см белый,стол like 55x55x44 см белый
"Панель 3D пенополистирол Вуаль 500х500х11,5 мм 8 шт",Декор,Декор потолка,Потолочная плитка,панель 3d пенополистирол вуаль 500х500х115 мм 8 шт,панель 3d пенополистирол вуаль 500х500х115 мм 8 шт
Комплект постельного белья наволочка 50x70 см OSCAR MELISSA сатин евро,Декор,Постельное бельё,Комплекты постельного белья,комплект постельного белья наволочка 50x70 см oscar melissa сатин евро,комплект постельного белья наволочка 50x70 см oscar melissa сатин евро
Наконечник для карниза HOME ACCESSORY 20.37.591 металлический титан вихрь,Декор,Оформление окна,Круглые карнизы и аксессуары,наконечник карниза home accessory 2037591 металлический титан вихрь,наконечник карниза home accessory 2037591 металлический титан вихрь
Подушка на стул Кэмел 40x40 см коричневая,Декор,Декор для кухни,Сидушки на стулья,подушка на стул кэмел 40x40 см коричневая,подушка на стул кэмел 40x40 см коричневая
"Подсвечник ""Птица"", L12 W8,5 H26,5 см",Декор,Декор интерьера,Подсвечники,подсвечник птица 5 5 см,подсвечник птица 5 5 см
"Ковёр Турция PASTORAL 32720A-CRE-CRE 2,0x2,9",Декор,Ковры и коврики,Современные ковры,ковёр турция pastoral 32720a-cre-cre 20x29,ковёр турция pastoral 32720a-cre-cre 20x29
Корзина Plast Team Oslo полипропилен молочная 150х284х380 мм 12 л,Декор,Декор интерьера,Плетёные корзинки и коробки,корзина plast team oslo полипропилен молочная 150х284х380 мм 12 л,корзина plast team oslo полипропилен молочная 150х284х380 мм 12 л
"Рулонная штора Legrand Блэкаут 140x175 см, бирюза",Декор,Оформление окна,Рулонные шторы блэкаут,рулонная штора legrand блэкаут 140x175 см бирюза,рулонная штора legrand блэкаут 140x175 см бирюза
Клипсы магнитные для штор пластик светло-красные 180 мм d45 мм нефрит,Декор,Оформление окна,Аксессуары для штор,клипсы магнитные штор пластик светло-красные 180 мм мм нефрит,клипсы магнитные штор пластик светло-красные 180 мм мм нефрит
Ткань блэкаут 110032 кремовый 280 см,Декор,Оформление окна,Ткань для штор,"280, 280",ткань блэкаут 110032 кремовый 280 см
Набор Ракушки натуральные бежевый 9х6х34 см в ассортименте,Декор,Декор интерьера,Подарки,ракушки натуральные бежевый 9х6х34 см в ассортименте,ракушки натуральные бежевый 9х6х34 см в ассортименте
Коробка для вещей IDEA М 2363.1 мята 38х27х21 см,Декор,Декор для кухни,Ящики для хранения на кухне,коробка вещей idea м 23631 мята 38х27х21 см,коробка вещей idea м 23631 мята 38х27х21 см
Клипсы с тросом сота зол мат,Декор,Оформление окна,Аксессуары для штор,клипсы с тросом сота зол мат,клипсы с тросом сота зол мат
Увлажнитель воздуха Zanussi ZH2 CERAMICO,Декор,Декор для спальни,Увлажнители воздуха для спальни,увлажнитель воздуха zanussi ceramico,увлажнитель воздуха zanussi ceramico
"Ваза Чикой Мини красная,  гутная работа",Декор,Декор интерьера,Вазы,ваза чикой мини красная гутная работа,ваза чикой мини красная гутная работа
Клей для обоев Metylan Экстра Комфорт 300 гр,Декор,Обои,Клей для обоев,клей обоев metylan экстра комфорт 300 гр,клей обоев metylan экстра комфорт 300 гр
"Кашпо с эффектом камня Stonebowl, 42х29см, серый",Декор,Декор интерьера,Декоративные горшки,кашпо с эффектом камня stonebowl 42х29см серый,кашпо с эффектом камня stonebowl 42х29см серый
Покрывало стеганное KYUAR серое 220х200 см,Декор,Текстиль для дома,Покрывала,покрывало стеганное kyuar серое 220х200 см,покрывало стеганное kyuar серое 220х200 см
"Парфюмированный аромадиффузор FRESH LEMON & EUCALYPTUS, 100 мл., Д75 Ш75 В240",Декор,Декор интерьера,Ароматические свечи и диффузоры,парфюмированный аромадиффузор fresh lemon & eucalyptus 100 мл д75 ш75 в240,парфюмированный аромадиффузор fresh lemon & eucalyptus 100 мл д75 ш75 в240
"Зеркало ""Колин"" D 650 на ремне из натуральной кожи коричневого цвета",Декор,Декор для стен,Зеркала,зеркало колин d 650 на ремне из натуральной кожи коричневого цвета,зеркало колин d 650 на ремне из натуральной кожи коричневого цвета
Подсвечник золотистый металл,Декор,Декор интерьера,Подсвечники,подсвечник золотистый металл,подсвечник золотистый металл
"Свеча классическая Bolsius Pure Romance роза и янтарь 12x5,8 см белая",Декор,Декор интерьера,Свечи,свеча классическая bolsius pure romance роза и янтарь 12x58 см белая,свеча классическая bolsius pure romance роза и янтарь 12x58 см белая
"Ваза, L11 W11 H24 см",Декор,Декор интерьера,Вазы,ваза см,ваза см
Простыня сатин mona liza grey 240x260 см,Декор,Постельное бельё,Простыни,простыня сатин mona liza grey 240x260 см,простыня сатин mona liza grey 240x260 см
Уличный светильник Apeyron НТУ 01-100-301 IP44,Освещение,Уличное освещение,Уличные светильники,уличный светильник apeyron нту 01-100-301,уличный светильник apeyron нту 01-100-301
Спот EGLO VALBIANO 97537,Освещение,Внутреннее освещение,Споты,спот eglo valbiano 97537,спот eglo valbiano 97537
Светодиодный светильник WOLTA WT5S16W90 16Вт 4000К IP20 1120лм 23x32x870 мм 1/30,Освещение,Внутреннее освещение,Подсветка,светодиодный светильник wolta wt5s16w90 16вт 4000к 1120лм 23x32x870 мм 1/30,светодиодный светильник wolta wt5s16w90 16вт 4000к 1120лм 23x32x870 мм 1/30
Светильник WMLS-7W/01B трековый магнитный 7 Вт 4000К,Освещение,Внутреннее освещение,Трековые системы освещения,светильник wmls-7w/01b трековый магнитный 7 вт 4000к,светильник wmls-7w/01b трековый магнитный 7 вт 4000к
Светодиодный портативный светильник Navigator 65х43х15 мм,Освещение,Светодиодное освещение,Споты светодиодные,светодиодный портативный светильник navigator 65х43х15 мм,светодиодный портативный светильник navigator 65х43х15 мм
Настенно-потолочный светильник Онлайт OLF-P-15,Освещение,Техническое освещение,Аварийные светильники,настенно-потолочный светильник онлайт olf-p-15,настенно-потолочный светильник онлайт olf-p-15
Светильник настенно-потолочный IEK ДПО 4006 12 Вт 800 лм,Освещение,Техническое освещение,Светильники для ЖКХ,светильник настенно-потолочный iek дпо 4006 12 вт 800 лм,светильник настенно-потолочный iek дпо 4006 12 вт 800 лм
Светильник настольный REXANT 609-004 49х9 см,Освещение,Внутреннее освещение,Настольные лампы,светильник настольный rexant 609-004 49х9 см,светильник настольный rexant 609-004 49х9 см
Потолочная люстра MW-Light Восторг 242015510,Освещение,Внутреннее освещение,Люстры,потолочная люстра mw-light восторг 242015510,потолочная люстра mw-light восторг 242015510
Подвесная люстра ARTE Lamp GEMELLI A2150SP-5WG,Освещение,Внутреннее освещение,Люстры,подвесная люстра arte lamp gemelli 5wg,подвесная люстра arte lamp gemelli 5wg
"Сетевой шнур с выключателем 2х0,75 мм², 1,8 м белый REXANT",Освещение,Уличное освещение,Комплектующие для уличных светильников,сетевой шнур с выключателем 2х075 мм² 18 м белый rexant,сетевой шнур с выключателем 2х075 мм² 18 м белый rexant
Потолочная люстра LEEK LE 062300-006,Освещение,Внутреннее освещение,Люстры,потолочная люстра leek le 062300-006,потолочная люстра leek le 062300-006
Настольная лампа декоративная EGLO PRESTWICK 49812,Освещение,Внутреннее освещение,Настольные лампы,настольная лампа декоративная eglo prestwick 49812,настольная лампа декоративная eglo prestwick 49812
Настенно-потолочный светильник Wolta ДПП01-12-021-4К-ОА с датчиком движения,Освещение,Техническое освещение,Светильники для ЖКХ,настенно-потолочный светильник wolta дпп01-12-021-4к-оа с датчиком движения,настенно-потолочный светильник wolta дпп01-12-021-4к-оа с датчиком движения
Светодиодный светильник WOLTA WT5S20W120 20Вт 4000К IP20 1400лм 32x23x1178 мм,Освещение,Внутреннее освещение,Подсветка,светодиодный светильник wolta wt5s20w120 20вт 4000к 1400лм 32x23x1178 мм,светодиодный светильник wolta wt5s20w120 20вт 4000к 1400лм 32x23x1178 мм
Подвес EGLO 3x40ВтxE27 maseta 1100х930 мм,Освещение,Внутреннее освещение,Подвесные светильники,подвес eglo 3x40втxe27 maseta 1100х930 мм,подвес eglo 3x40втxe27 maseta 1100х930 мм
Трековый светильник ARTE Lamp Almach A1906PL-1BK,Освещение,Внутреннее освещение,Трековые системы освещения,трековый светильник arte lamp almach 1bk,трековый светильник arte lamp almach 1bk
Блок питания WLD-150W/01-48V трековый магнитный,Освещение,Внутреннее освещение,Трековые системы освещения,блок питания wld-150w/01-48v трековый магнитный,блок питания wld-150w/01-48v трековый магнитный
Линейный светодиодный светильник ЭРА LLED-01-04W-4000-W 4Вт 380Лм 4000К 311 мм,Освещение,Светодиодное освещение,Линейные светодиодные светильники,линейный светодиодный светильник эра lled-01-04w-4000-w 4вт 380лм 4000к 311 мм,линейный светодиодный светильник эра lled-01-04w-4000-w 4вт 380лм 4000к 311 мм
Уличный прожектор Онлайт 61947 IP65,Освещение,Светодиодное освещение,Светодиодные прожекторы,уличный прожектор онлайт 61947,уличный прожектор онлайт 61947
Светодиодный портативный светильник Navigator 280х45х22 мм,Освещение,Светодиодное освещение,Споты светодиодные,светодиодный портативный светильник navigator 280х45х22 мм,светодиодный портативный светильник navigator 280х45х22 мм
Основание подвесного светильника 33 Идеи PND.105.01.05.001.PA 1х75 Вт,Освещение,Комплектующие для светильников,Основания для светильников,основание подвесного светильника 33 идеи pnd1050105001pa 1х75 вт,основание подвесного светильника 33 идеи pnd1050105001pa 1х75 вт
Лампа галогенная автомобильная Tungsram H11 12V-55W 53110SXU B2 2 шт,Освещение,Лампочки,Галогеновые лампы,лампа галогенная автомобильная tungsram 12v-55w 53110sxu 2 шт,лампа галогенная автомобильная tungsram 12v-55w 53110sxu 2 шт
Спот светодиодный 33 Идеи СК50-4АН.WP.MS 4 Вт,Освещение,Светодиодное освещение,Споты светодиодные,спот светодиодный 33 идеи ск50-4анwpms 4 вт,спот светодиодный 33 идеи ск50-4анwpms 4 вт
"Тройник ""Куб"" 2 гнезда 2USB 2,4А+Type C + Ночник",Освещение,Внутреннее освещение,Ночники,тройник куб 2 гнезда 2usb 24а+type c + ночник,тройник куб 2 гнезда 2usb 24а+type c + ночник
"Светильник настенно-потолочный Rivoli Jessica черный, золото 25X9,7X14",Освещение,Внутреннее освещение,Потолочные светильники,светильник настенно-потолочный rivoli jessica черный золото 25x97x14,светильник настенно-потолочный rivoli jessica черный золото 25x97x14
Лампа накал. свеча NAVIGATOR Е27 40Вт матовая,Освещение,Лампочки,Лампы накаливания,лампа накал свеча navigator е27 40вт матовая,лампа накал свеча navigator е27 40вт матовая
Настольная лампа для рабочего стола ЭРА NLED-437 5 Вт красная,Освещение,Внутреннее освещение,Настольные лампы,настольная лампа рабочего стола эра 5 вт красная,настольная лампа рабочего стола эра 5 вт красная
Лампа галогенная автомобильная Tungsram H11 12V-55W 53110SXU B2 2 шт,Освещение,Лампочки,Автомобильные лампы,лампа галогенная автомобильная tungsram 12v-55w 53110sxu 2 шт,лампа галогенная автомобильная tungsram 12v-55w 53110sxu 2 шт
Настенно-потолочный светильник РС22091 WT+CR/3С РОССВЕТ,Освещение,Внутреннее освещение,Споты,настенно-потолочный светильник рс22091 wt+cr/3с россвет,настенно-потолочный светильник рс22091 wt+cr/3с россвет
